name,category,subCategory,launched,deadline,result,backers,country,pledged,goal
"Cling Nano Strips: Our STICKIEST, MOST VERSATILE Gel Pad Yet",Product Design,Design,2017/07/18,2017-08-18,successful,1022,Australia,22062.22,2572.83
The World's First Bucket List Newsletter,Publishing,Publishing,2017/07/18,2017-08-18,failed,13,Australia,833.6,10291.32
Birch Plywood and Brass Knife Rack,Product Design,Design,2017/07/18,2017-08-17,canceled,1,Australia,17.42,9499.68
Hatoful Boyfriend Acrylic Charms,Digital Art,Art,2017/07/18,2017-08-17,successful,20,Australia,451.23,395.82
The Owl Tribe,Comics,Comics,2017/07/18,2017-08-17,failed,79,Australia,2518.21,3958.2
BaGua dice comeback: Collectable metal binary dice,Tabletop Games,Games,2017/07/18,2017-08-08,successful,50,Australia,1177.16,786.35
"Dean multi-tool: Opener,wrench,pryer.Minimal n super compact",Product Design,Design,2017/07/18,2017-08-08,successful,81,Australia,1015.96,786.35
MiniC: RFID Canvas slim wallet with amazing functionality,Product Design,Design,2017/07/18,2017-08-08,successful,327,Australia,6657.23,786.35
THE TÛNNEL,Music,Music,2017/07/18,2017-07-22,successful,83,Australia,1592.36,1194.27
Coopers Bar and Grill Steak and Seafood Specialists,Food,Food,2017/07/17,2017-08-16,failed,1,Australia,16.62,47498.42
ART OF SHIRTS - UNIQUE JUST LIKE YOU,Fashion,Fashion,2017/07/17,2017-08-16,failed,10,Australia,1548.45,3562.38
Gale Force Wind - Album,Music,Music,2017/07/17,2017-08-14,successful,78,Australia,3484.8,2770.74
Organic Vegan Wellness from the Inside Out,Small Batch,Food,2017/07/16,2017-08-25,failed,47,Australia,14470.12,19786.31
Educational birthday gifts,Web,Technology,2017/07/15,2017-09-13,failed,1,Australia,0.8,2406.93
Fibromyalgia Easy Clothing,Fashion,Fashion,2017/07/15,2017-09-13,failed,9,Australia,358.63,36103.98
A Matter of Time Kickstarter,Video Games,Games,2017/07/15,2017-08-19,successful,119,Australia,1062.52,474.87
Spinneroo: Connected Smart & Interactive Fidget Spinner,Gadgets,Technology,2017/07/15,2017-08-14,suspended,210,Australia,14703.13,11874.6
The Last Remnants of Men RPG,Tabletop Games,Games,2017/07/15,2017-08-14,canceled,4,Australia,40.37,1583.28
"Maths'Fun, when learning Mathematics becomes a game!",Web,Technology,2017/07/15,2017-08-14,failed,3,Australia,30.08,1583.28
ShipsBells App Improvement Program,Apps,Technology,2017/07/14,2017-08-13,failed,2,Australia,25.33,19791.01
Filming The Arctic Charity Challenge,Documentary,Film & Video,2017/07/14,2017-07-20,failed,3,Australia,40.39,3168.07
The Enlightenment - TV series project,Television,Film & Video,2017/07/13,2017-09-11,failed,12,Australia,951.54,1323812.58
Shader: Portable Shade & Personal Sun Protection,Product Design,Design,2017/07/13,2017-08-12,successful,1456,Australia,165485.28,19791.01
Torment' A Student Short Film,Thrillers,Film & Video,2017/07/13,2017-08-12,successful,14,Australia,1266.62,1187.46
Trials and Tribulations of a Prahran boy,Nonfiction,Publishing,2017/07/13,2017-08-12,failed,0,Australia,0,19791.01
Original R&B Song Needs Support,Music,Music,2017/07/13,2017-08-12,successful,34,Australia,1009.34,554.15
Floppy Memory,Hardware,Technology,2017/07/12,2017-09-10,suspended,26,Australia,1170.57,12034.66
Monsters Beer and Booty,Tabletop Games,Games,2017/07/12,2017-09-10,failed,37,Australia,1441.75,5215.02
YORKE,Apps,Technology,2017/07/12,2017-08-21,failed,6,Australia,1962.8,43529.88
Love and Let Go (An Album for Bereaved Parents),Music,Music,2017/07/12,2017-08-18,successful,428,Australia,21255.54,19791.01
The Frost Collection: Scatter Terrain For The Frozen City,Tabletop Games,Games,2017/07/12,2017-08-16,canceled,38,Australia,6394.87,15832.81
The Mind Hack,Fiction,Publishing,2017/07/12,2017-08-11,failed,17,Australia,375.87,1965.87
Morgana A Documentary Film. housewife. pornographer. artist,Documentary,Film & Video,2017/07/12,2017-08-11,successful,561,Australia,35856.31,31453.96
VIVID: The latest Addition to the real Kevlar Charging Cable,Product Design,Design,2017/07/12,2017-08-06,canceled,260,Australia,11670.46,15726.98
"Pop Planner 2018 - Plan, Organise, Prioritise",Publishing,Publishing,2017/07/12,2017-08-02,successful,287,Australia,16330.01,15942.61
Profits For Adjuncts,Apps,Technology,2017/07/12,2017-08-01,failed,3,Australia,83.7,1355121.56
Bharata Tarot Playing Cards,Playing Cards,Games,2017/07/12,2017-07-27,canceled,78,Australia,2477.71,3184.71
"Documentary Film - One year, One Girl",Documentary,Film & Video,2017/07/11,2017-09-09,canceled,2,Australia,32.09,24069.32
WicInk Apparel.,Apparel,Fashion,2017/07/11,2017-08-20,failed,1,Australia,15.83,1187.18
SPIRITUS ® | Advanced Active-wear w/ Silver & Infrared Tech,Apparel,Fashion,2017/07/11,2017-08-17,canceled,89,Australia,7954.4,7916.4
Under The Hanging Tree,Horror,Film & Video,2017/07/11,2017-08-13,successful,79,Australia,9565.39,9499.68
Biddy - Short FIlm,Shorts,Film & Video,2017/07/11,2017-08-10,successful,63,Australia,4126,3774.48
MG PLANNER - 2018 EDITION,Calendars,Publishing,2017/07/11,2017-08-10,canceled,32,Australia,853.19,15726.98
Vegan Kids Magazine,Print,Journalism,2017/07/11,2017-08-10,failed,14,Australia,272.08,1572.7
BitSpin: Smallest EDC bottle opener hand spin,Product Design,Design,2017/07/11,2017-08-01,canceled,25,Australia,545.24,797.13
SpinPlate: Spin desk toy made fun,Tabletop Games,Games,2017/07/11,2017-08-01,canceled,12,Australia,341.17,797.13
Spindice: Unique way to play game dice as hand spin,Tabletop Games,Games,2017/07/11,2017-08-01,suspended,34,Australia,601.04,797.13
Bullseye: Bullet shaped collective metal gaming dice :),Tabletop Games,Games,2017/07/11,2017-08-01,successful,165,Australia,4424.87,797.13
3D Design app for custom-print products,Ready-to-wear,Fashion,2017/07/11,2017-07-31,failed,1,Australia,15.94,7971.3
The Great Machine - a cosmic tale of conflict and survival,Graphic Novels,Comics,2017/07/10,2017-09-08,failed,10,Australia,559.2,32417.54
Bringing The Lesser Evil & Peaceful Tomorrows back to print!,Graphic Novels,Comics,2017/07/10,2017-08-24,successful,86,Australia,2297.32,791.45
Forest Sprite Beacon - Night time geocaching and...,DIY Electronics,Technology,2017/07/10,2017-08-09,failed,1,Australia,19.66,393.17
fund the simple new social media network app that gives back,Web,Technology,2017/07/10,2017-08-09,failed,0,Australia,0,3145.4
Made (working title),Fiction,Publishing,2017/07/10,2017-08-09,failed,1,Australia,5.5,4147.99
4TFY - An Affordable VPN For All,Software,Technology,2017/07/10,2017-08-09,successful,850,Australia,90561.45,19658.72
Global Contact Network,Apps,Technology,2017/07/08,2017-08-07,failed,1,Australia,7.86,3931.74
Rompers Anonymous - Here to help,Fashion,Fashion,2017/07/08,2017-08-07,canceled,0,Australia,0,7863.49
Hear Us Roar - Curve has a new home.,Fashion,Fashion,2017/07/08,2017-08-07,failed,10,Australia,2886.69,9436.19
Universal Plate Holder,Technology,Technology,2017/07/08,2017-08-07,failed,3,Australia,24.38,7863.49
"Raymond the Raindrop - Respect Water, Water is Life !",Children's Books,Publishing,2017/07/07,2017-08-22,failed,6,Australia,598.34,15829.05
Mistress Death,Fantasy,Film & Video,2017/07/07,2017-08-06,canceled,0,Australia,0,4147.99
Kickstart: Six Foot Under Apparel.,Apparel,Fashion,2017/07/07,2017-08-06,failed,1,Australia,0.79,1179.52
Webcam John-Short Film,Drama,Film & Video,2017/07/07,2017-08-06,failed,0,Australia,0,15726.98
2 hour drone documentary of Kyrgyzstan,Documentary,Film & Video,2017/07/07,2017-07-29,failed,3,Australia,47.83,8768.43
FilmNeverDie New Film Processor Machine & New Space 2018.,Fine Art,Photography,2017/07/07,2017-07-22,successful,227,Australia,16058.12,11942.68
Dis' Taste - Historical novel set in colonial Africa.,Fiction,Publishing,2017/07/06,2017-09-04,failed,1,Australia,12.97,4052.19
Innovative design wetsuits for surfers and water sports,Ready-to-wear,Fashion,2017/07/06,2017-09-04,failed,1,Australia,12.97,40521.92
3 Futuristic Kitchen Gadgets That Break Traditions,Product Design,Design,2017/07/06,2017-08-20,failed,9,Australia,581.72,55401.66
Don't Tell Me We're Late Again - The Italian Adventure,Nonfiction,Publishing,2017/07/06,2017-08-17,failed,1,Australia,17.42,7916.4
Gerbil: The Open upgrade for your K40 Laser,Fabrication Tools,Technology,2017/07/06,2017-08-05,successful,168,Australia,17359.05,15726.98
ORION360: World's First Gesture controlled music system,Sound,Technology,2017/07/06,2017-08-05,canceled,88,Australia,12125.5,11795.23
MozziZapa Lantern: Mosquito and Moth's worst Nightmare.,Technology,Technology,2017/07/06,2017-08-05,suspended,19,Australia,826.45,11795.23
Mum Bum,Apparel,Fashion,2017/07/06,2017-08-05,failed,3,Australia,111.66,7863.49
Greeting Cards for Hard Working Helping Professionals,Illustration,Art,2017/07/06,2017-08-05,failed,6,Australia,192.66,4324.92
Sovereign's Dread vol.2 Dark Fantasy Graphic Novel,Graphic Novels,Comics,2017/07/05,2017-08-04,successful,87,Australia,3363.89,2391.39
POCKET CUBE,Product Design,Design,2017/07/05,2017-07-30,failed,23,Australia,1475.49,3985.65
Oh Brother mini-comic: growing up with a brother with autism,Comic Books,Comics,2017/07/05,2017-07-14,successful,121,Australia,1753.71,77.6
"Lego cataloging app - scan your bricks, catalog and build",Apps,Technology,2017/07/04,2017-08-03,failed,8,Australia,185.55,159426.07
Mies van de Rohe's Farnsworth House. Architectural Model Kit,Architecture,Design,2017/07/04,2017-08-03,successful,45,Australia,7396.57,5978.48
3in1Cushions,Product Design,Design,2017/07/04,2017-08-03,canceled,12,Australia,1115.98,47827.82
The Craft Planner 2.0 - Make 2018 your best year yet,Product Design,Design,2017/07/03,2017-08-07,successful,895,Australia,23320.99,7863.49
The Twig and The Three-Legged Pig,Children's Books,Publishing,2017/07/03,2017-08-02,failed,31,Australia,1996.81,3985.65
Children's Book about Zumba Fitness® MiniMia Music & Dance,Children's Books,Publishing,2017/07/03,2017-07-13,successful,18,Australia,554.05,310.39
Stylish Recycled Plastic Bottle Leggings & Active Wear,Fashion,Fashion,2017/07/02,2017-08-31,failed,12,Australia,992.7,6348.2
Screen-A-Thon Film Festival,Festivals,Film & Video,2017/07/02,2017-08-14,canceled,0,Australia,0,39582.01
Blokkan: Robot Stories,Graphic Novels,Comics,2017/07/02,2017-08-01,successful,146,Australia,5775.3,3587.09
ShopChat | A fundamentally new way to shop,Apps,Technology,2017/07/01,2017-08-15,failed,12,Australia,832.81,3958.2
Implicit Playing Cards,Playing Cards,Games,2017/07/01,2017-07-31,successful,306,Australia,11190.12,5579.91
When I Grow Up,Children's Books,Publishing,2017/07/01,2017-07-31,successful,60,Australia,4635.31,3985.65
Raspberry Pi ATX Power Board,DIY Electronics,Technology,2017/07/01,2017-07-31,failed,15,Australia,1677.16,2391.39
Fils et Papa - Fashion for father & son,Childrenswear,Fashion,2017/07/30,2017-09-13,failed,25,Belgium,3813.81,11963.01
Cycling educational team,Live Games,Games,2017/07/29,2017-08-31,failed,0,Belgium,0,1191.99
Making Weight & Everything Else: Nutrition Book for Fighters,Nonfiction,Publishing,2017/07/27,2017-09-03,successful,105,Belgium,4265.61,3014.99
ANIMAL PRESS’ UPCOMING AMAZING NEW BOOKS,Art Books,Publishing,2017/07/25,2017-09-13,successful,282,Belgium,13501.45,13159.31
MEET NUMI,Product Design,Design,2017/07/24,2017-09-02,successful,378,Belgium,76327.5,24119.92
Fractales,Shorts,Film & Video,2017/07/24,2017-08-23,failed,6,Belgium,449.89,3542.41
Animals On Web (shelter-on-web),Animals,Photography,2017/07/23,2017-08-22,failed,2,Belgium,83.84,3542.41
FIRST AID SAGA,Video Games,Games,2017/07/22,2017-09-20,failed,7,Belgium,127.98,239220.14
Pure oil on canvas to create the most honest expression...,Painting,Art,2017/07/18,2017-09-16,canceled,1,Belgium,59.81,2392.2
"From Architecture to Art T-shirt ""Dialogue with flowers""",Design,Design,2017/07/18,2017-08-02,successful,10,Belgium,593.4,593.4
Flyboard Air®,Technology,Technology,2017/07/16,2017-08-15,live,2,Belgium,610.48,293499.57
HOME VISITS,Apps,Technology,2017/07/15,2017-09-13,failed,2,Belgium,84.94,11364.86
Cover Me,Tabletop Games,Games,2017/07/11,2017-08-25,successful,105,Belgium,9563.34,8856.04
UCREA NOTES: sketchbook for designers.,Design,Design,2017/07/08,2017-08-22,failed,17,Belgium,268.04,2361.61
"City guide ""Fragments de Liège""",Publishing,Publishing,2017/07/07,2017-08-15,successful,124,Belgium,6055.48,5869.99
All Metal KeyCap [A.M.K.],Product Design,Design,2017/07/06,2017-08-05,successful,76,Belgium,5135.41,1647.1
N0MVDs Watch,Product Design,Design,2017/07/31,2017-09-29,canceled,10,Canada,1087.62,12057.88
Full size Folding Beach Cruiser Bike with Carbon Belt Drive,Product Design,Design,2017/07/31,2017-09-09,successful,63,Canada,41907.39,20598.17
Workingtrades,Apps,Technology,2017/07/31,2017-09-02,failed,6,Canada,517.08,66186.81
Pixel Mew Inspired Enamel Pin,Accessories,Fashion,2017/07/31,2017-09-01,failed,9,Canada,93.24,361.71
Epilogue Enamel Pins by OddStarr,Accessories,Fashion,2017/07/31,2017-08-31,successful,64,Canada,1569.81,482.28
TURBIDITY - The Mt Polley mine disaster,Documentary,Film & Video,2017/07/31,2017-08-30,successful,65,Canada,8119.36,8037.94
Rollbe - Super Compact Measuring Tool,Product Design,Design,2017/07/31,2017-08-30,successful,3242,Canada,106289.69,6430.35
Devil's Castle,Games,Games,2017/07/31,2017-08-30,failed,0,Canada,0,16075.88
Untitled | A New EP by Colin Weeks,Pop,Music,2017/07/31,2017-08-16,successful,28,Canada,757.84,316.03
Video hosting site without loss of quality,Web,Technology,2017/07/29,2017-09-27,failed,5,Canada,4.02,20096.46
The Road to Ayin,Faith,Music,2017/07/29,2017-08-28,successful,90,Canada,7137.69,6028.45
“SORRY” Enamel Pins • Canada Edition,Accessories,Fashion,2017/07/29,2017-08-16,failed,4,Canada,88.49,948.09
Strongbox,Software,Technology,2017/07/28,2017-09-26,failed,5,Canada,173.63,64308.68
Runner's Republic,Comedy,Film & Video,2017/07/28,2017-08-27,failed,37,Canada,1954.02,16075.88
Spin Down Pewter Life Counters For Magic The Gathering,Games,Games,2017/07/28,2017-08-27,successful,101,Canada,4616.19,1607.59
"It's Back, First Guitar Stand To Fit In Palm of Your Hand",Gadgets,Technology,2017/07/27,2017-09-25,successful,53,Canada,1902.73,1607.72
"Mobile, Rapid, Smart Testing for Safe Water",Gadgets,Technology,2017/07/27,2017-09-15,canceled,29,Canada,4770.54,24717.81
Don't Drought The Broom Forest,Spaces,Food,2017/07/27,2017-08-31,successful,9,Canada,747.53,602.85
Wonderful World of White,Art Books,Publishing,2017/07/27,2017-08-29,failed,19,Canada,1089.94,28132.79
HOMEE,Apps,Technology,2017/07/27,2017-08-26,failed,0,Canada,0,80379.39
Enamel Pins; A Tribute to Tim Burton,Mixed Media,Art,2017/07/27,2017-08-26,failed,4,Canada,122.18,643.04
Gibson,Children's Books,Publishing,2017/07/27,2017-08-26,successful,10,Canada,401.9,401.9
BOSSMAN,Comics,Comics,2017/07/27,2017-08-26,successful,5,Canada,88.42,40.19
The Plastic-Free Zero Waste Clean Lunch Bag,Product Design,Design,2017/07/27,2017-08-26,successful,300,Canada,17700.35,2411.38
One Girl's Journey of 17 Countries Across 4 Continents,Nonfiction,Publishing,2017/07/26,2017-09-24,failed,2,Canada,52.25,12057.88
I Remember a Lot of Octobers-student film,Shorts,Film & Video,2017/07/26,2017-08-27,failed,1,Canada,20.09,1414.68
Container: 10th Anniversary Jumbo Edition!,Tabletop Games,Games,2017/07/26,2017-08-25,successful,998,Canada,85144.71,9993.6
Chasing the Lion 2.0,Documentary,Film & Video,2017/07/26,2017-08-25,canceled,16,Canada,2062.68,19987.21
Rebuilding Little Red Sounds Recording Studio,Music,Music,2017/07/26,2017-08-02,failed,0,Canada,0,3181.67
Currents: A Ricepaper Anthology,Anthologies,Publishing,2017/07/25,2017-09-13,successful,73,Canada,2657.16,2471.78
The Villager Helmet - Style is now a choice,Product Design,Design,2017/07/25,2017-08-25,failed,43,Canada,8617.68,71953.95
"This Is Our Time, a new podcast series",Audio,Journalism,2017/07/25,2017-08-25,successful,117,Canada,8707.23,7994.88
The Greatest Golf Instructional Video Ever Made! This is it!,Narrative Film,Film & Video,2017/07/25,2017-08-09,failed,0,Canada,0,1573.32
Caramel Apple Pie Jelly...brought to you by That's My Jam!,Small Batch,Food,2017/07/25,2017-08-09,successful,24,Canada,1160.32,786.66
Catacombs Conquest,Tabletop Games,Games,2017/07/25,2017-08-05,successful,905,Canada,26984.74,7866.58
MyMusicShare – Music Studio in your pocket,Apps,Technology,2017/07/24,2017-09-22,canceled,3,Canada,86.8,8150.62
"Ornament & Crime - UNBUILT - 12"" vinyl pressing + tour",Music,Music,2017/07/24,2017-08-23,successful,24,Canada,1136.87,983.37
YVR Space - For Creators,Web,Journalism,2017/07/23,2017-09-21,failed,1,Canada,4.08,203765.59
STRIVER STEM - Learning Kit for All Ages,Makerspaces,Technology,2017/07/23,2017-09-06,failed,10,Canada,783.49,82733.52
Bloodlines,Fiction,Publishing,2017/07/23,2017-08-22,failed,0,Canada,0,2798.21
RECKLESS D,Rock,Music,2017/07/22,2017-09-20,failed,0,Canada,0,20376.56
Impendit | The Future of Dining in the Hands of the People,Apps,Technology,2017/07/22,2017-09-05,canceled,4,Canada,2536.61,20683.38
Inuit art and tool recreation,Art,Art,2017/07/22,2017-08-22,failed,16,Canada,1359.93,43971.86
BEASTLY IDIOTS,Pop,Music,2017/07/22,2017-08-22,failed,4,Canada,72.75,7994.88
Support new upcoming musician lil navii,Music,Music,2017/07/22,2017-08-21,failed,0,Canada,0,799.49
pride and inspiration to every sports fan in the world.,Apparel,Fashion,2017/07/22,2017-08-16,failed,0,Canada,0,47404.6
