name,category,subCategory,launched,deadline,result,backers,country,pledged,goal
"Omni Link - Science fiction ""Manga & Visual Novel""",Comics,Comics,2017/07/31,2017-09-04,successful,328,US,6449,3000
Revolutionary Bike Stem with Adjustable Handlebar Position,Product Design,Design,2017/07/31,2017-09-04,failed,21,CH,3572,31722.87
Zenu App: Event Space Market Place,Apps,Technology,2017/07/31,2017-09-04,canceled,22,US,578,39000
Workingtrades,Apps,Technology,2017/07/31,2017-09-02,failed,6,CA,517.08,66186.81
Gami : Any Size Duffle,Design,Design,2017/07/31,2017-09-02,canceled,109,US,19969,40000
The Expansion of Vance Naturals,DIY,Crafts,2017/07/31,2017-09-01,failed,0,US,0,150000
pennyforthelot,Apps,Technology,2017/07/31,2017-09-01,failed,0,US,0,250000
Pixel Mew Inspired Enamel Pin,Accessories,Fashion,2017/07/31,2017-09-01,failed,9,CA,93.24,361.71
SURVIVING TRUMP Diverse People Making America Great Everyday,Film & Video,Film & Video,2017/07/31,2017-09-01,canceled,2,US,56,300000
Custom 3D printed accessories for Scythe,Tabletop Games,Games,2017/07/31,2017-09-01,successful,194,US,7613,2500
HORIZON: The World’s Best Reusable Luggage Cover,Product Design,Design,2017/07/31,2017-09-01,failed,8,GB,552.79,12945.99
FICKL | The Recommendation App,Apps,Technology,2017/07/31,2017-09-01,failed,5,GB,130.75,3883.8
Libro Magic Innovation Model Preventa,Academic,Publishing,2017/07/31,2017-09-01,failed,5,MX,61.67,3363.98
The Unseen,Graphic Novels,Comics,2017/07/31,2017-09-01,failed,0,US,0,30000
Epilogue Enamel Pins by OddStarr,Accessories,Fashion,2017/07/31,2017-08-31,successful,64,CA,1569.81,482.28
Coffee Tarot,Art,Art,2017/07/31,2017-08-31,successful,82,US,5661,2000
iOS Kernel Exploitation Training Course,Software,Technology,2017/07/31,2017-08-31,failed,233,DE,14423.97,132443.71
KIWI COOLER: A New Era of Coolers,Product Design,Design,2017/07/31,2017-08-31,failed,22,US,6058,25000
IN THE SOUP Urgent Restoration & 25th Anniversary Re-Release,Narrative Film,Film & Video,2017/07/31,2017-08-31,successful,796,US,89749,54000
Camera Dictionary Mobile App,Software,Technology,2017/07/31,2017-08-31,successful,1,SG,36.91,7.38
Original Safety Pin Lure,Crafts,Crafts,2017/07/31,2017-08-30,failed,2,US,11,600
Its time to put some G.O.D Sauce BBQ in your life.,Food,Food,2017/07/31,2017-08-30,successful,38,US,1937,1000
"levelR - Mount Your Pictures Straight, Every Time",Product Design,Design,2017/07/31,2017-08-30,successful,128,AU,4804,4602.44
Pink Feathers,Documentary,Film & Video,2017/07/31,2017-08-30,successful,48,GB,3605.46,3236.5
Ezy Reach Back Exfoliator,Product Design,Design,2017/07/31,2017-08-30,canceled,6,AU,507.86,206316.46
The World's newest Open-Source mobile Computing Solution,Hardware,Technology,2017/07/31,2017-08-30,failed,8,US,1241,500000
Spiders from Meres,Public Art,Art,2017/07/31,2017-08-30,failed,2,GB,59.55,1941.9
The Neckbeard's Den,Games,Games,2017/07/31,2017-08-30,canceled,2,US,118,3000
Raising Awareness about Tourette's Syndrome Through Camera,Experimental,Film & Video,2017/07/31,2017-08-30,canceled,1,US,50,1500
Emergence,Film & Video,Film & Video,2017/07/31,2017-08-30,canceled,0,US,0,150000
BAITSHARK - best bait bucket for kayak and wade fishing!,Gadgets,Technology,2017/07/31,2017-08-30,failed,13,US,910,21500
Tomato and Ketchup Free Bob-B-Que Sauce,Food,Food,2017/07/31,2017-08-30,failed,0,US,0,5500
The Internet Names Animals I Love Danger Noodles Enamel Pin,Illustration,Art,2017/07/31,2017-08-30,successful,41,US,921,900
TheLoonyLahi - An animation channel on youtube,Webcomics,Comics,2017/07/31,2017-08-30,failed,0,GB,0,300.35
Summer 2017,Comics,Comics,2017/07/31,2017-08-30,successful,170,US,9702.42,8500
Jabbr – A College Migration App,Apps,Technology,2017/07/31,2017-08-30,successful,64,US,20012,20000
Fantasy Unleashed,Fiction,Publishing,2017/07/31,2017-08-30,failed,0,US,0,750
Tortilleria en la playa,Small Batch,Food,2017/07/31,2017-08-30,failed,0,US,0,65000
Back to School Tour 2017 Sep-Nov,Comedy,Film & Video,2017/07/31,2017-08-30,failed,0,US,0,4000
Firefly— Home Internet Protection,Hardware,Technology,2017/07/31,2017-08-30,failed,26,US,1114,25000
Help us upgrade our Space Citizens website,Space Exploration,Technology,2017/07/31,2017-08-30,failed,3,US,60,500
"Neskee - Apprenez à bas coût, formez quand vous voulez !",Web,Technology,2017/07/31,2017-08-30,failed,23,FR,1426.82,11919.95
MISSING: The Complete Saga,Video Games,Games,2017/07/31,2017-08-30,successful,455,US,50795,50000
"Ace and Cup""The most unlikely friends""Unicorn Slippers/Plush",Footwear,Fashion,2017/07/31,2017-08-30,canceled,1,GB,48.55,45310.96
Figura Strategic board game Small Box,Tabletop Games,Games,2017/07/31,2017-08-30,successful,27,IT,934.52,834.4
Boiled egg soft enamel pin 30mm,Art,Art,2017/07/31,2017-08-30,successful,20,GB,327.53,323.65
Coelacanth Hard Enamel Pins,Accessories,Fashion,2017/07/31,2017-08-30,successful,83,US,2268,450
TURBIDITY - The Mt Polley mine disaster,Documentary,Film & Video,2017/07/31,2017-08-30,successful,65,CA,8119.36,8037.94
Urbanskins Australia to go global,Footwear,Fashion,2017/07/31,2017-08-30,canceled,0,AU,0,238057.45
Lee and the Flea,Children's Books,Publishing,2017/07/31,2017-08-30,failed,0,US,0,5000
Gameumentary - Short Docs About The Games You Play,Documentary,Film & Video,2017/07/31,2017-08-30,successful,282,US,22911,22000
Monster,Plays,Theater,2017/07/31,2017-08-30,successful,9,GB,6450.99,4531.1
Dark Lord Miniatures: Dungeon Foundation Set,Tabletop Games,Games,2017/07/31,2017-08-30,successful,50,GB,9156.7,1941.9
The WORLD's First Magnetic Levitation Shower Door,Product Design,Design,2017/07/31,2017-08-30,canceled,6,US,3561,20000
We're just like you - photobook,Photobooks,Photography,2017/07/31,2017-08-30,canceled,0,GB,0,194.19
STARTUP: Wraps Up! Mexican Style,Painting,Art,2017/07/31,2017-08-30,failed,3,MX,406.48,2747.25
Sharing The Universe,Nature,Photography,2017/07/31,2017-08-30,failed,2,US,2,2000
Hang drum yoga,World Music,Music,2017/07/31,2017-08-30,failed,0,US,0,2000
Hilx Unfold: World's Most Compact Lifestyle Sunglasses,Product Design,Design,2017/07/31,2017-08-30,successful,241,HK,56911.61,51119.52
Rollbe - Super Compact Measuring Tool,Product Design,Design,2017/07/31,2017-08-30,successful,3242,CA,106289.69,6430.35
Aeris Waterproof Nylon Backpack With Bluetooth Speaker,Product Design,Design,2017/07/31,2017-08-30,canceled,11,US,673,10000
Safe-Ship Buffer Stuffers an environmentally friendly move,Product Design,Design,2017/07/31,2017-08-30,failed,0,US,0,7500
Salt-Bit We are more than just a Logo,Product Design,Design,2017/07/31,2017-08-30,failed,0,US,0,15000
It's About Time - Barry Greene Quartet,Jazz,Music,2017/07/31,2017-08-30,successful,158,US,7520,7000
By All Means: A Rock 'n Roll Story,Documentary,Film & Video,2017/07/31,2017-08-30,failed,56,GB,13462.53,32364.97
"Marathon Thyagaraja Festival in Tamil Nadu, India",World Music,Music,2017/07/31,2017-08-30,canceled,1,US,50,16000
Unusual Unicorns Enamel Pins,Accessories,Fashion,2017/07/31,2017-08-30,successful,163,US,5033,2100
Devil's Castle,Games,Games,2017/07/31,2017-08-30,failed,0,CA,0,16075.88
J:son Flies | The most realistic fishing flies in the world,Product Design,Design,2017/07/31,2017-08-30,failed,22,SE,2419.26,37730.15
SousVide Supreme Touch+,Technology,Technology,2017/07/31,2017-08-30,successful,1250,US,410039.89,250000
RooPax™: Compression Pouch Hammock,Product Design,Design,2017/07/31,2017-08-30,failed,18,US,1820,15000
AsGLeague Mobile Reward App,Apps,Technology,2017/07/31,2017-08-30,canceled,0,US,0,680
Transmigrant Interdimensional Taxicab Service #5,Comic Books,Comics,2017/07/31,2017-08-30,successful,239,US,6990.66,2600
"""Quiet and Calming"" - Fine Art Print Series",Places,Photography,2017/07/31,2017-08-30,successful,3,DE,119.2,119.2
Tornado Sphere - CNC Aluminum Fidget Spinner,Product Design,Design,2017/07/31,2017-08-30,successful,60,HK,3445.84,638.99
88 Cents - A Short Film,Shorts,Film & Video,2017/07/31,2017-08-30,failed,56,US,3646,15000
Imaginary Voyages of Edgar Allan Poe #1 KS Exclusive Edition,Comic Books,Comics,2017/07/31,2017-08-30,successful,311,US,5474.66,1000
Teatä - The Cup Plant (recycling tea waste indoor plants),Product Design,Design,2017/07/31,2017-08-30,failed,2,NL,13.11,1907.19
GLORY-relaunch,Tabletop Games,Games,2017/07/31,2017-08-30,canceled,12,US,631,2000
Moneysplained: The Financial Education You Wish You'd Had,Audio,Journalism,2017/07/31,2017-08-30,successful,296,US,6814,1500
The Demon Archives Volume 1: The Battle of Arkjut,Graphic Novels,Comics,2017/07/31,2017-08-30,successful,80,US,4000,3500
DIANA ROSA AND THE GREAT UNSAID,R&B,Music,2017/07/31,2017-08-30,failed,4,AU,396.76,7935.25
Bake of Hungary,Food,Food,2017/07/31,2017-08-30,failed,3,GB,59.55,38837.97
Battle For Enkeon: A new turn-based sci-fi shooter for PC,Video Games,Games,2017/07/31,2017-08-30,canceled,21,GB,1449.95,19418.98
SAVE THE ART,Art,Art,2017/07/31,2017-08-30,successful,11,DE,1789.58,1191.99
Juxtaposition - Hard Enamel Pin Series,Accessories,Fashion,2017/07/31,2017-08-30,failed,21,GB,464.76,1294.6
Desk Block - The Conversation Piece That Spins,Design,Design,2017/07/31,2017-08-30,failed,9,US,865,2500
Southern Illinois Mercantile Company Expansion,Crafts,Crafts,2017/07/31,2017-08-30,failed,4,US,151,15000
Free Art Friday ATL: The Series,Documentary,Film & Video,2017/07/31,2017-08-30,canceled,27,US,1945,5000
KeyKard,Product Design,Design,2017/07/31,2017-08-30,failed,10,US,215,3333
Simonia's Chess Tables,Live Games,Games,2017/07/31,2017-08-30,failed,0,US,0,3000
Legally Bellas - Magazine and Photography of Amateur Girls,Photography,Photography,2017/07/31,2017-08-30,successful,36,US,1260,1250
Dallas Vuse Webseries,Webseries,Film & Video,2017/07/31,2017-08-30,failed,1,US,1,1000
Short Hair Detention,Nonfiction,Publishing,2017/07/31,2017-08-30,successful,145,US,10983,10500
700 Knights 4 of 4 - Let's Print,Graphic Novels,Comics,2017/07/31,2017-08-30,successful,107,US,1481,51
"The Cheese, The Smartphone Stand for Selfie & Group Photos",Product Design,Design,2017/07/31,2017-08-30,canceled,6,AU,26.98,15870.5
I'm So Yoga Newark - Yoga Studio Fund,DIY,Crafts,2017/07/31,2017-08-30,failed,27,US,1235,2000
Punk Rap to Life,Hip-Hop,Music,2017/07/31,2017-08-30,canceled,0,US,0,3000
Modius Cafe - Spy-Fi Adventure Digital Comic 1st issue,Comics,Comics,2017/07/31,2017-08-30,successful,19,US,367.93,100
The Grand Adventure of Benny The Hamster,Illustration,Art,2017/07/31,2017-08-30,failed,3,US,11,1000
Frostbite: War of the Clans Book 1,Publishing,Publishing,2017/07/31,2017-08-30,failed,5,US,79,350
Plus qu un bijou / More than a jewel,Jewelry,Fashion,2017/07/31,2017-08-30,failed,3,FR,106.09,4767.98
HYLDE joins Cowgirl Ninja & Mega Chomp,Events,Comics,2017/07/31,2017-08-30,successful,63,US,904,695
ANYONE,Fashion,Fashion,2017/07/31,2017-08-29,failed,8,MX,199.6,2803.32
CoolKASE - The Portable Cooler for Your Outdoor Adventure,Product Design,Design,2017/07/31,2017-08-29,failed,17,US,5701,10000
Kitchen Delight,Woodworking,Crafts,2017/07/31,2017-08-29,failed,1,US,1,15000
Empire Deluxe Combined Edition,Video Games,Games,2017/07/31,2017-08-29,successful,615,US,19626.5,5000
Projector Toilet Night Light! Project a Poop Emoji or Target,Gadgets,Technology,2017/07/31,2017-08-29,successful,703,US,23178,5000
ezLight : A clippable 360° rotational COB LED headlight,Gadgets,Technology,2017/07/31,2017-08-26,canceled,21,US,486,1000
Neon Light Mandala Project,Sculpture,Art,2017/07/31,2017-08-25,failed,1,US,10,4000
Bannière Metallica 2017,Illustration,Art,2017/07/31,2017-08-25,successful,7,FR,236.16,236.16
The Art of Nolan Nasser 2: An Astral Adventure,Illustration,Art,2017/07/31,2017-08-25,successful,116,US,5304,2000
Around the Board: A Webseries for Tabletop and Card Gamers,Webseries,Film & Video,2017/07/31,2017-08-24,failed,3,US,250,7500
AVATXT Universal Messenger #App 2 break all barriers,Apps,Technology,2017/07/31,2017-08-24,failed,2,US,925,3800
580 Media: Fund Our Next Wave of Podcasts,Radio & Podcasts,Publishing,2017/07/31,2017-08-24,failed,6,US,1115,10000
"""Missing Pieces"" New Zealand Short Documentary",Film & Video,Film & Video,2017/07/31,2017-08-23,successful,10,NZ,378.84,360.8
Pre-Order: The League Bowlers - Some Balls (Deluxe) CD,Rock,Music,2017/07/31,2017-08-21,successful,73,US,2135,1200
"Algae from crop land: clean water, air and product",Technology,Technology,2017/07/31,2017-08-21,failed,3,US,51.11,50000
The Game of 21 - A New Version - from Buffalo Brain Busters,Gadgets,Technology,2017/07/31,2017-08-21,canceled,2,US,42,2100
The Blue Vale: A Tabletop RPG in Augmented Reality,Video Games,Games,2017/07/31,2017-08-21,canceled,8,US,415,350000
iPin,Product Design,Design,2017/07/31,2017-08-20,successful,29,US,514,500
"""Werewolves Are People Too!"" Zine",Illustration,Art,2017/07/31,2017-08-20,successful,12,GB,234.66,102.59
Woof! Woof! Commission a portrait of your pet,Digital Art,Art,2017/07/31,2017-08-20,failed,0,GB,0,256.46
BLUE DRIP,Science Fiction,Film & Video,2017/07/31,2017-08-20,failed,50,US,4135,27000
"Advent Space - Sci-fi Shooter for Mobile,PC,Mac & Xbox One",Video Games,Games,2017/07/31,2017-08-20,failed,2,AU,19.79,2374.36
The North Park Community Market,Farmer's Markets,Food,2017/07/31,2017-08-19,successful,58,US,2494,1500
"""Dimensional"" - Novel by Koa Kathleen Safe",Fiction,Publishing,2017/07/31,2017-08-19,successful,14,US,1021,750
Seven Towers of Wonder,Publishing,Publishing,2017/07/31,2017-08-18,successful,284,US,37637,6000
The Tweet Presidential Library-Home Edition,Crafts,Crafts,2017/07/31,2017-08-17,failed,0,US,0,2500
Star Trek Cast Portraits,Photobooks,Photography,2017/07/31,2017-08-17,failed,3,GB,984.9,3218.62
US-IMF : 28mm & 15mm Sci-fi Armour,Tabletop Games,Games,2017/07/31,2017-08-16,successful,252,GB,45840.25,7724.69
Help Us Start Up Suzie Soap!,Crafts,Crafts,2017/07/31,2017-08-16,failed,5,US,130,1000
Untitled | A New EP by Colin Weeks,Pop,Music,2017/07/31,2017-08-16,successful,28,CA,757.84,316.03
Summer Dance Courses,Workshops,Dance,2017/07/31,2017-08-15,successful,3,GB,2574.9,2574.9
Galapagos Photograph Calendar,Nature,Photography,2017/07/31,2017-08-15,failed,0,US,0,500
Phenomena,Shorts,Film & Video,2017/07/31,2017-08-15,successful,24,AU,3166.56,1979.1
MORNING STAR #0 The Curse of the BLOOD KING,Comic Books,Comics,2017/07/31,2017-08-14,successful,47,US,1744.77,499
Mostly Professional: the Book!,Comedy,Publishing,2017/07/31,2017-08-14,successful,8,US,295,240
"Gen X artist mom, Y & Z daughters - Dresses, shirts, more!",Apparel,Fashion,2017/07/31,2017-08-14,failed,2,US,65,800
Japanese Sakura Folding Fan Pin Badge,Graphic Design,Design,2017/07/31,2017-08-12,successful,27,GB,525.28,476.36
Abstract Contrasts,Illustration,Art,2017/07/31,2017-08-08,suspended,5,DK,269.72,126.56
Audiograve,Punk,Music,2017/07/30,2017-09-28,failed,0,US,0,550
One For The Road,Shorts,Film & Video,2017/07/30,2017-09-28,failed,0,US,0,3000
Indoor Marksmanship Simulator Trainer Virtual Shooting Range,Live Games,Games,2017/07/30,2017-09-28,failed,0,US,0,55000
"BITTER MELON, an H.P. Mendoza film",Comedy,Film & Video,2017/07/30,2017-09-28,successful,240,US,52086,25000
Multi Functions Type C MicroProjector,Hardware,Technology,2017/07/30,2017-09-28,failed,4,HK,96.02,1280.28
We Have forgotten historical Real food... in the raising?GOT,Farmer's Markets,Food,2017/07/30,2017-09-28,suspended,0,US,0,50000
505 ROYALTY,Journalism,Journalism,2017/07/30,2017-09-28,suspended,0,US,0,25000
"Help Broken Things press a 12"" record",Indie Rock,Music,2017/07/30,2017-09-13,failed,13,US,336,2500
Fils et Papa - Fashion for father & son,Childrenswear,Fashion,2017/07/30,2017-09-13,failed,25,BE,3813.81,11963.01
Myths and Legends of the Colombian Caribbean,Publishing,Publishing,2017/07/30,2017-09-13,failed,2,US,26,3000
Christmas Album Project,Music,Music,2017/07/30,2017-09-11,failed,7,US,246,3800
Project Qupi - Largest Medical Question Bank -,Apps,Technology,2017/07/30,2017-09-08,failed,53,US,5598,40000
Rubber Duck,Calendars,Publishing,2017/07/30,2017-09-06,failed,1,US,47,1000
Annabelle & Aiden: Worlds Within Us,Children's Books,Publishing,2017/07/30,2017-09-05,successful,664,US,18788,2500
LAHAY / SHOES / DESIGN / ARTISAN / ETHICS / SUSTAINABILITY,Footwear,Fashion,2017/07/30,2017-09-04,failed,127,MX,8447.3,8477.93
Bamboo Bio Sip Coffee Cup,Product Design,Design,2017/07/30,2017-09-03,canceled,60,AU,2342.17,20260.96
Mishy's Sexspirations,Publishing,Publishing,2017/07/30,2017-09-03,failed,2,AU,29.18,8104.38
Scenes from Home,Music,Music,2017/07/30,2017-09-03,successful,76,US,4572,4500
Victory Battle Tactics | Card Game,Tabletop Games,Games,2017/07/30,2017-09-02,canceled,20,US,1069,32500
Your Story Discovered: A Writer's New Toolbox,Publishing,Publishing,2017/07/30,2017-09-01,failed,5,US,895,20000
HIKARI33 - Artworks illuminated by candle-light,Art,Art,2017/07/30,2017-09-01,failed,15,US,2070,5500
[Psycho Babble] Volume 2,Webcomics,Comics,2017/07/30,2017-09-01,canceled,41,US,1592,4000
The Sonnets,Experimental,Theater,2017/07/30,2017-08-31,successful,24,US,1740,1000
ADVISOR ASTROHELM WATCH - TRIBUTE TO HISTORY,Product Design,Design,2017/07/30,2017-08-31,successful,52,SG,9157.25,7382.8
Custom Pinatas You choose your Theme,Crafts,Crafts,2017/07/30,2017-08-31,successful,1,US,35,20
Tree of Utah Interpretive Center,Public Art,Art,2017/07/30,2017-08-31,failed,1,US,75,110000
MIGHTY KOR PUZZLE VIDEO GAME,Video Games,Games,2017/07/30,2017-08-29,failed,3,MX,2.8,8409.96
"New EP From Artist ""RN""",Electronic Music,Music,2017/07/30,2017-08-29,successful,6,US,535,500
VALERIE - The Valerie Perrine Documentary,Documentary,Film & Video,2017/07/30,2017-08-29,failed,90,US,30080,75000
JLV is recording her SECOND Full Studio Album!,Rock,Music,2017/07/30,2017-08-29,successful,64,US,10535,8200
Help Share the Vision of IRIDESCENCE,Experimental,Film & Video,2017/07/30,2017-08-29,failed,2,US,6,500
Wah Studios,Music,Music,2017/07/30,2017-08-29,failed,1,US,1,50000
A Card Game with an Attitude,Playing Cards,Games,2017/07/30,2017-08-29,successful,173,US,4929.5,2000
wHEALTH app: Attend Your Forecasted Exercise or Donate,Apps,Technology,2017/07/30,2017-08-29,failed,1,GB,1.29,1294.6
The Ink Witch Comic,Comic Books,Comics,2017/07/30,2017-08-29,successful,107,GB,1752.89,517.84
Our Medieval Age.,Fiction,Publishing,2017/07/30,2017-08-29,failed,2,US,2,15000
"Tea Time! The First Tea Lounge for Cosplay, Books & Art",Restaurants,Food,2017/07/30,2017-08-29,failed,7,US,75,52400
Lighane's Coloring Book: Mythical Creatures,Painting,Art,2017/07/30,2017-08-29,successful,113,DE,4202.97,2979.99
The Frost Collection: Version 2.0,Tabletop Games,Games,2017/07/30,2017-08-29,successful,111,AU,14445.21,7935.25
Iconic/Inspirational Figures - Urban Paintings,Painting,Art,2017/07/30,2017-08-29,successful,2,GB,134.64,129.46
Universal Notes: A Spiritual Journey,Web,Technology,2017/07/30,2017-08-29,failed,52,US,3433,10000
Made by Oneke,Fashion,Fashion,2017/07/30,2017-08-29,successful,17,GB,1294.6,1294.6
FLOWER MEN,Photobooks,Photography,2017/07/30,2017-08-29,successful,262,DK,14558.16,12019.62
Station 111 Pre-printed MDF Terrain and Gaming Mat.,Tabletop Games,Games,2017/07/30,2017-08-29,successful,44,GB,8768.32,1941.9
Metalmaps - Geological industrial wall art,Graphic Design,Design,2017/07/30,2017-08-29,successful,4,NL,1193.19,1191.99
Childish: New Art Collection,Art,Art,2017/07/30,2017-08-29,failed,12,DE,650.83,15495.93
Human Error Group Nobody's Pony https://ksr-ugc.imgix.net/as,Music,Music,2017/07/30,2017-08-29,failed,7,US,175,4000
The Square Building Project,Children's Books,Publishing,2017/07/30,2017-08-29,failed,1,US,1,2500
DEEP,Webseries,Film & Video,2017/07/30,2017-08-29,failed,1,US,1,25000
One of a Kind Craft Projects for Girls and Women,Glass,Crafts,2017/07/30,2017-08-29,failed,1,US,1,1000
Prehab Daily: Get ahead of your pain one day at a time!,Apps,Technology,2017/07/30,2017-08-29,failed,4,US,96,3500
Unfuck Your Brain: Using Science to Work Through Your Shit,Nonfiction,Publishing,2017/07/30,2017-08-29,successful,1617,US,46026,7000
KIKITO LA ESCALOFRIANTE HISTORIA BASADA EN HECHOS REALES,Horror,Film & Video,2017/07/30,2017-08-25,failed,0,MX,0,10197.14
Residue,Performances,Dance,2017/07/30,2017-08-21,successful,75,US,5520,5500
My Friend Charlotte,Print,Journalism,2017/07/30,2017-08-21,failed,4,US,59,5000
"""Love Notes"" Picture Book",Children's Books,Publishing,2017/07/30,2017-08-20,successful,93,US,2970,2500
"""Portraits of women"" Limited edition prints",Illustration,Art,2017/07/30,2017-08-19,successful,10,ES,123.98,118.08
The Bay Tree Collection Poject,Art,Art,2017/07/30,2017-08-19,failed,0,US,0,1500
ALFA,Shorts,Film & Video,2017/07/30,2017-08-19,failed,9,MX,642.99,5098.57
Pikamoon Enamel Pin 40mm Glitter Soft Enamel Pin!,Digital Art,Art,2017/07/30,2017-08-19,successful,11,GB,351.35,346.22
Pagosa Kids Co-op. An all weather place to get wiggles out!,Live Games,Games,2017/07/30,2017-08-16,canceled,8,US,232,1500
Kickstart Your Life! A Guide on Change & Flexible Eating,Nonfiction,Publishing,2017/07/30,2017-08-16,failed,35,US,1446,2500
Mundo Cannábico América,Documentary,Film & Video,2017/07/30,2017-08-14,successful,27,MX,3436.51,3354.95
NB-IoT BLE Gateway & Soil Sensor for Vodafone Network,Hardware,Technology,2017/07/30,2017-08-14,failed,3,GB,162.22,69522.23
Dance Floors Needed,Spaces,Dance,2017/07/30,2017-08-14,successful,38,US,3400,3000
Imperial Dragon's Beard Candies (Dragon's Breath),Food,Food,2017/07/30,2017-08-14,failed,7,SG,256.58,2199.25
Seven: A Micro Numbers Card Game,Tabletop Games,Games,2017/07/30,2017-08-09,successful,25,US,274,50
CoffeeBook,Food,Food,2017/07/29,2017-09-27,failed,1,MX,0.55,25305.31
"Electribottle, Portable Charger within a reusable bottle.",Technology,Technology,2017/07/29,2017-09-27,failed,5,US,5,2000
Jon Whited : Debut Worship Album,Faith,Music,2017/07/29,2017-09-27,failed,9,US,131,4000
Video hosting site without loss of quality,Web,Technology,2017/07/29,2017-09-27,failed,5,CA,4.02,20096.46
ProDough The Protein Donut,Food,Food,2017/07/29,2017-09-27,failed,52,US,1493,200000
The Falcon Rangers,Mobile Games,Games,2017/07/29,2017-09-27,failed,7,NO,16.18,6271.48
Detect Earth Episode 2: Inside Streams,Webseries,Film & Video,2017/07/29,2017-09-27,failed,13,US,373,5000
Recording Our Debut Album,Country & Folk,Music,2017/07/29,2017-09-19,successful,114,GB,4784.12,3392.04
